block,solver,A_name,q,sigma,K,P_success,P_success_impute,P_success_single,P_success_single_impute,eps_success_impute
A,neural,A2,6,0.0,16,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,6,0.0,32,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,6,0.0,64,0.0,0.15,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,2,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,4,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,8,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,16,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,32,0.0,0.15,0.0,0.1,0.3043807145043604
A,neural,A2,7,0.0,64,0.0,0.15,0.0,0.1,0.3043807145043604
A,neural,A2,8,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A2,8,0.0,2,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A2,8,0.0,4,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A2,8,0.0,8,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A2,8,0.0,16,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A2,8,0.0,32,0.0,0.1,0.0,0.05,0.3043807145043604
A,neural,A2,8,0.0,64,0.0,0.15,0.0,0.05,0.3043807145043604
A,neural,A3,3,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,3,0.0,2,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,3,0.0,4,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,3,0.0,8,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,3,0.0,16,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,3,0.0,32,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,3,0.0,64,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,4,0.0,1,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,4,0.0,2,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,4,0.0,4,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,4,0.0,8,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,4,0.0,16,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,4,0.0,32,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,4,0.0,64,0.0,0.05,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,1,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,2,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,4,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,8,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,16,0.0,0.0,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,32,0.0,0.05,0.0,0.0,0.3043807145043604
A,neural,A3,5,0.0,64,0.0,0.2,0.0,0.0,0.3043807145043604
A,neural,A3,6,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,6,0.0,2,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,6,0.0,4,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,6,0.0,8,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,6,0.0,16,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,6,0.0,32,0.0,0.1,0.0,0.1,0.3043807145043604
A,neural,A3,6,0.0,64,0.0,0.15,0.0,0.1,0.3043807145043604
A,neural,A3,7,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,7,0.0,2,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,7,0.0,4,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,7,0.0,8,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,7,0.0,16,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,7,0.0,32,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,7,0.0,64,0.0,0.1,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,2,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,4,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,8,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,16,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,32,0.0,0.05,0.0,0.05,0.3043807145043604
A,neural,A3,8,0.0,64,0.0,0.1,0.0,0.05,0.3043807145043604
A,newton,A1,3,0.0,1,0.1,0.1,0.1,0.1,0.3043807145043604
A,newton,A1,3,0.0,2,0.3,0.3,0.1,0.1,0.3043807145043604
A,newton,A1,3,0.0,4,0.5,0.5,0.1,0.1,0.3043807145043604
A,newton,A1,3,0.0,8,0.65,0.65,0.1,0.1,0.3043807145043604
A,newton,A1,3,0.0,16,0.75,0.75,0.1,0.1,0.3043807145043604
A,newton,A1,3,0.0,32,1.0,1.0,0.1,0.1,0.3043807145043604
A,newton,A1,3,0.0,64,1.0,1.0,0.1,0.1,0.3043807145043604
A,newton,A1,4,0.0,1,0.0,0.25,0.0,0.25,0.3043807145043604
A,newton,A1,4,0.0,2,0.1,0.35,0.0,0.25,0.3043807145043604
A,newton,A1,4,0.0,4,0.2,0.5,0.0,0.25,0.3043807145043604
A,newton,A1,4,0.0,8,0.3,0.65,0.0,0.25,0.3043807145043604
A,newton,A1,4,0.0,16,0.4,0.9,0.0,0.25,0.3043807145043604
